Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Fidelity® 500 Index Institutional,Fidelity Investments,FXSIX,F00000LZSH,20110504,Large Blend,U.S. Equity,Inst,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"6,914,439,727.5600000000","236,283,147,715.9000000000",12,5 Stars,Average,,S&P 500 TR USD,,,,,
Fidelity® 500 Index Investor,Fidelity Investments,FUSEX,FOUSA00CJW,19880217,Large Blend,U.S. Equity,Inv,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"3,610,377,562.4800000000","236,283,147,715.9000000000",14,4 Stars,Average,,S&P 500 TR USD,,,,,
Fidelity® 500 Index Premium,Fidelity Investments,FUSVX,FOUSA05CL7,20051014,Large Blend,U.S. Equity,Other,No,20110504,FXAIX,Yes,20181102,Merged,Fidelity® 500 Index,Fidelity® 500 Index Premium,"61,740,899,194.5300000000","236,283,147,715.9000000000",12,4 Stars,Average,,S&P 500 TR USD,,,,,
American Funds Growth Fund of Amer 529B,American Funds,,FOUSA02UYJ,20020215,Large Growth,U.S. Equity,B,No,19731130,AGTHX,No,20170410,Merged,American Funds Growth Fund of Amer 529A,,"3,430,927.0000000000","200,720,784,202.0000000000",42,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Growth Fund of Amer B,American Funds,,FOUSA00IHI,20000315,Large Growth,U.S. Equity,B,No,19731130,AGTHX,No,20170410,Merged,American Funds Growth Fund of Amer A,,"25,419,389.0000000000","200,720,784,202.0000000000",39,3 Stars,,,S&P 500 TR USD,,,,,
American Funds Europacific Growth 529B,American Funds,,FOUSA02UVR,20020219,Foreign Large Growth,International Equity,B,No,19840416,AEPGX,No,20170410,Merged,American Funds Europacific Growth 529A,,"377,778.0000000000","165,470,940,454.0000000000",54,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds Europacific Growth B,American Funds,,FOUSA00JGR,20000315,Foreign Large Growth,International Equity,B,No,19840416,AEPGX,No,20170410,Merged,American Funds Europacific Growth A,,"3,853,442.0000000000","165,470,940,454.0000000000",50,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
American Funds American Balanced 529B,American Funds,,FOUSA02UTZ,20020215,Allocation--50% to 70% Equity,Allocation,B,No,19750725,ABALX,No,20170410,Merged,American Funds American Balanced 529A,,"1,562,586.0000000000","161,111,915,094.0000000000",13,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
American Funds American Balanced B,American Funds,,FOUSA00HP6,20000315,Allocation--50% to 70% Equity,Allocation,B,No,19750725,ABALX,No,20170410,Merged,American Funds American Balanced A,,"18,139,131.0000000000","161,111,915,094.0000000000",12,4 Stars,,,Morningstar Mod Tgt Risk TR USD,,,,,
Vanguard Total Stock Mkt Idx Signal,Vanguard,VTSSX,FOUSA05IV5,20060901,Large Blend,U.S. Equity,Other,No,19920427,VTSMX,Yes,20141024,Merged,Vanguard Total Stock Mkt Idx Adm,,"7,295,283,601.0000000000","140,702,167,244.4340000000",28,4 Stars,,,S&P 500 TR USD,,,,,
