Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
MFS Growth EA,MFS,,FOUSA02V8D,20020731,Large Growth,U.S. Equity,A,No,19861229,MEGBX,No,20070321,Liquidated,,,"868,858.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS Growth EB,MFS,EBEGX,FOUSA02V8E,20020731,Large Growth,U.S. Equity,Other,No,19861229,MEGBX,No,20070321,Liquidated,,,"230,985.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
MFS Growth EC,MFS,ECEGX,FOUSA02V8F,20020731,Large Growth,U.S. Equity,Other,No,19861229,MEGBX,No,20070321,Liquidated,,,"118,447.0000000000","26,723,848,166.3500000000",,3 Stars,,,S&P 500 TR USD,,,,,
Berger Mid Cap Growth,Janus Henderson,,FOUSA00I0G,19971231,Mid-Cap Growth,U.S. Equity,,No,19920901,JANEX,No,20030421,Merged,Janus Henderson Enterprise T,,"78,191,234.0000000000","23,013,946,559.5600000000",,,,,S&P 500 TR USD,,,,,
Columbia Dividend Income G,Columbia,GEQBX,FOUSA00KW9,19980304,Large Value,U.S. Equity,Other,No,19980304,GSFTX,No,20070808,Merged,Columbia Dividend Income V,,"1,132,083.0000000000","19,629,134,279.2100000000",,3 Stars,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Ret A,Columbia,,FOUSA00CVW,19901214,Large Value,U.S. Equity,A,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income V,,"97,521,425.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Ret B,Columbia,,FOUSA00OU4,19981030,Large Value,U.S. Equity,B,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income G,,"9,563,740.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Galaxy Equity Income Tr,Columbia,,FOUSA00CXC,19940930,Large Value,U.S. Equity,Other,No,19980304,GSFTX,No,20021125,Merged,Columbia Dividend Income Inst,,"74,496,906.0000000000","19,629,134,279.2100000000",,,,,S&P 500 TR USD,,,,,
Berger Balanced,Janus Henderson,,FOUSA00H74,19970930,Allocation--50% to 70% Equity,Allocation,,No,19920901,JANBX,No,20030421,Merged,Janus Henderson Balanced T,,"46,704,498.0000000000","19,538,637,017.3400000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Mercury Total Return Bond A,BlackRock,,FOUSA00HCO,19990602,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv A,,"51,172,377.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond B,BlackRock,,FOUSA00L9A,20001006,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv B,,"422,221.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond C,BlackRock,,FOUSA00L64,20001006,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv C1,,"6,795.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Mercury Total Return Bond I,BlackRock,,FOUSA00CGW,19941206,Intermediate Core-Plus Bond,Taxable Bond,Inst,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Instl,,"62,155,729.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt A,BlackRock,,FOUSA00DT5,19881025,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Instl,,"8,005,949.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt B,BlackRock,,FOUSA00DTZ,19860829,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv B,,"12,944,623.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt C,BlackRock,,FOUSA00FEI,19941021,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv C1,,"883,665.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Global Bond for Invmt D,BlackRock,,FOUSA00CTZ,19941021,Intermediate Core-Plus Bond,Taxable Bond,D,No,20011207,MPHQX,No,20030321,Merged,BlackRock Total Return Inv A,,"30,170,821.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond A,BlackRock,,FOUSA02SYR,20001006,Intermediate Core-Plus Bond,Taxable Bond,A,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Instl,,"1,131,369.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond B,BlackRock,,FOUSA02SYH,20001006,Intermediate Core-Plus Bond,Taxable Bond,B,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv B,,"16,068,187.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond C,BlackRock,,FOUSA02SYV,20001006,Intermediate Core-Plus Bond,Taxable Bond,C,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv C1,,"17,328,748.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Merrill Lynch Total Return Bond D,BlackRock,,FOUSA02SYJ,20001006,Intermediate Core-Plus Bond,Taxable Bond,D,No,20011207,MPHQX,No,20030224,Merged,BlackRock Total Return Inv A,,"12,825,213.0000000000","16,773,130,525.9200000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Smith Barney Large Cap Growth Z,Legg Mason,,FOUSA00JI2,19970829,Large Growth,U.S. Equity,Inst,No,19970829,SBLGX,No,20030421,Liquidated,,,"170,130,349.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth A,Legg Mason,,FOUSA00E5V,19950703,Large Growth,U.S. Equity,A,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth A,,"40,636,808.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth B,Legg Mason,,FOUSA00DBR,19950703,Large Growth,U.S. Equity,B,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth B,,"25,606,891.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth L,Legg Mason,,FOUSA00DXH,19950808,Large Growth,U.S. Equity,Other,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth C,,"88,700.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Peachtree Growth Y,Legg Mason,,FOUSA00CLD,19971015,Large Growth,U.S. Equity,Inst,No,19970829,SBLGX,No,20030505,Merged,ClearBridge Large Cap Growth I,,"82,157,272.0000000000","16,040,687,005.7300000000",,,,,S&P 500 TR USD,,,,,
